Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsSinceLastPromotion
28,Yes,Travel_Rarely,Research & Development,24,Bachelor,Life Sciences,19,High,Male,Medium,1,Laboratory Technician,High,Single,2028,Excellent,Medium,6,Better,0
29,No,Travel_Rarely,Research & Development,21,Master,Life Sciences,20,Medium,Female,Very High,3,Manufacturing Director,Low,Divorced,9980,Excellent,High,10,Better,8
32,No,Travel_Rarely,Research & Development,5,College,Life Sciences,21,Low,Male,Very High,1,Research Scientist,Medium,Divorced,3298,Excellent,Very High,7,Good,0
22,No,Non-Travel,Research & Development,16,College,Medical,22,Very High,Male,Very High,1,Laboratory Technician,Very High,Divorced,2935,Excellent,Medium,1,Good,0
53,No,Travel_Rarely,Sales,2,Master,Life Sciences,23,Low,Female,Medium,4,Manager,Very High,Married,15427,Excellent,High,31,Better,3
38,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,24,Very High,Male,High,1,Research Scientist,Very High,Single,3944,Excellent,High,6,Better,1
24,No,Non-Travel,Research & Development,11,College,Other,26,Low,Female,Very High,2,Manufacturing Director,High,Divorced,4011,Excellent,Very High,5,Good,1
36,Yes,Travel_Rarely,Sales,9,Master,Life Sciences,27,High,Male,Medium,1,Sales Representative,Low,Single,3407,Outstanding,Medium,10,Better,0
34,No,Travel_Rarely,Research & Development,7,Master,Life Sciences,28,Low,Female,High,3,Research Director,Medium,Single,11994,Excellent,High,13,Better,2
21,No,Travel_Rarely,Research & Development,15,College,Life Sciences,30,High,Male,High,1,Research Scientist,Very High,Single,1232,Excellent,Very High,0,Better,0
34,Yes,Travel_Rarely,Research & Development,6,Below College,Medical,31,Medium,Male,High,1,Research Scientist,Low,Single,2960,Excellent,High,8,Better,1
53,No,Travel_Rarely,Research & Development,5,Bachelor,Other,32,High,Female,High,5,Manager,High,Divorced,19094,Excellent,Very High,26,Good,4
32,Yes,Travel_Frequently,Research & Development,16,Below College,Life Sciences,33,Medium,Female,Low,1,Research Scientist,Low,Single,3919,Outstanding,Medium,10,Better,6
42,No,Travel_Rarely,Sales,8,Master,Marketing,35,High,Male,High,2,Sales Executive,Medium,Married,6825,Excellent,Very High,10,Better,4
44,No,Travel_Rarely,Research & Development,7,Master,Medical,36,Low,Female,Medium,3,Healthcare Representative,Very High,Married,10248,Excellent,Very High,24,Better,5
46,No,Travel_Rarely,Sales,2,Master,Marketing,38,Medium,Female,High,5,Manager,Low,Single,18947,Excellent,Very High,22,Good,2
33,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,39,High,Male,High,1,Laboratory Technician,Very High,Single,2496,Excellent,Very High,7,Better,0
44,No,Travel_Rarely,Research & Development,10,Master,Other,40,Very High,Male,High,2,Healthcare Representative,Very High,Married,6465,Excellent,Very High,9,Best,1
30,No,Travel_Rarely,Research & Development,9,College,Medical,41,Very High,Male,Medium,1,Laboratory Technician,High,Single,2206,Excellent,Low,10,Better,1
39,Yes,Travel_Rarely,Sales,5,Bachelor,Technical Degree,42,Very High,Male,High,2,Sales Representative,Very High,Married,2086,Excellent,High,19,Best,0
24,Yes,Travel_Rarely,Research & Development,1,Bachelor,Medical,45,Medium,Male,High,1,Research Scientist,Very High,Married,2293,Excellent,Low,6,Good,2
43,No,Travel_Rarely,Research & Development,2,College,Medical,46,Very High,Female,Very High,1,Research Scientist,High,Divorced,2645,Excellent,Very High,6,Good,1
50,Yes,Travel_Rarely,Sales,3,College,Marketing,47,Low,Male,Medium,1,Sales Representative,High,Married,2683,Excellent,High,3,Better,0
35,No,Travel_Rarely,Sales,2,Bachelor,Marketing,49,Very High,Female,High,1,Sales Representative,Very High,Married,2014,Excellent,Low,2,Better,2
36,No,Travel_Rarely,Research & Development,5,Master,Life Sciences,51,Medium,Female,Medium,1,Research Scientist,Low,Married,3419,Excellent,Very High,6,Best,0
33,No,Travel_Frequently,Sales,1,Bachelor,Life Sciences,52,High,Female,Very High,2,Sales Executive,Low,Married,5376,Excellent,Low,10,Better,1
35,No,Travel_Rarely,Research & Development,4,College,Other,53,High,Male,High,1,Laboratory Technician,Very High,Divorced,1951,Excellent,High,1,Better,0
27,No,Travel_Rarely,Research & Development,2,Master,Life Sciences,54,Very High,Female,High,1,Laboratory Technician,Low,Divorced,2341,Excellent,Very High,1,Better,0
26,Yes,Travel_Rarely,Research & Development,25,Bachelor,Life Sciences,55,Low,Male,Low,1,Laboratory Technician,High,Single,2293,Excellent,High,1,Good,0
27,No,Travel_Frequently,Sales,8,Bachelor,Life Sciences,56,Very High,Male,High,3,Sales Executive,High,Single,8726,Excellent,Very High,9,Better,1
30,No,Travel_Frequently,Research & Development,1,College,Medical,57,High,Female,High,2,Laboratory Technician,Very High,Single,4011,Outstanding,Very High,12,Better,3
41,Yes,Travel_Rarely,Research & Development,12,Bachelor,Technical Degree,58,Medium,Female,High,5,Research Director,High,Married,19545,Excellent,Very High,23,Better,15
34,No,Non-Travel,Sales,23,Master,Marketing,60,Medium,Male,High,2,Sales Executive,High,Single,4568,Outstanding,High,10,Better,8
37,No,Travel_Rarely,Research & Development,19,College,Life Sciences,61,Medium,Male,High,1,Research Scientist,Medium,Married,3022,Outstanding,Low,8,Better,0
46,No,Travel_Frequently,Sales,5,Master,Marketing,62,Low,Male,High,2,Sales Executive,Very High,Single,5772,Outstanding,High,14,Better,0
35,No,Travel_Rarely,Research & Development,8,Below College,Life Sciences,63,Very High,Male,Very High,1,Laboratory Technician,Very High,Married,2269,Excellent,Very High,1,Better,0
48,Yes,Travel_Rarely,Research & Development,1,College,Life Sciences,64,Low,Male,Medium,3,Laboratory Technician,High,Single,5381,Excellent,Very High,23,Better,0
28,Yes,Travel_Rarely,Research & Development,5,Master,Technical Degree,65,High,Male,High,1,Laboratory Technician,High,Single,3441,Excellent,High,2,Good,2
44,No,Travel_Rarely,Sales,1,Doctor,Marketing,68,Medium,Female,High,2,Sales Executive,Low,Divorced,5454,Outstanding,High,9,Good,1
35,No,Non-Travel,Research & Development,11,College,Medical,70,High,Male,Medium,3,Healthcare Representative,Low,Married,9884,Excellent,High,10,Better,2
26,No,Travel_Rarely,Sales,23,Bachelor,Marketing,72,High,Female,Medium,2,Sales Executive,Very High,Married,4157,Excellent,High,5,Good,0
33,No,Travel_Frequently,Research & Development,1,College,Life Sciences,73,Low,Female,High,3,Research Director,Very High,Single,13458,Excellent,High,15,Better,8
35,No,Travel_Frequently,Sales,18,Doctor,Life Sciences,74,Medium,Male,High,3,Sales Executive,Low,Married,9069,Outstanding,Very High,9,Good,1
35,No,Travel_Rarely,Research & Development,23,Master,Medical,75,High,Female,High,1,Laboratory Technician,Low,Married,4014,Excellent,High,4,Better,2
31,No,Travel_Rarely,Research & Development,7,Master,Life Sciences,76,Very High,Male,High,2,Laboratory Technician,Very High,Divorced,5915,Outstanding,Very High,10,Good,1
37,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,77,Low,Male,Medium,2,Manufacturing Director,High,Divorced,5993,Excellent,High,7,Best,0
32,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,78,Low,Male,High,2,Manufacturing Director,Very High,Married,6162,Outstanding,Medium,9,Better,7
38,No,Travel_Frequently,Research & Development,29,Doctor,Life Sciences,79,Very High,Female,High,2,Laboratory Technician,Very High,Single,2406,Excellent,Very High,10,Better,9
50,No,Travel_Rarely,Research & Development,7,College,Medical,80,Medium,Female,Medium,5,Research Director,High,Divorced,18740,Excellent,Very High,29,Good,13
59,No,Travel_Rarely,Sales,25,Bachelor,Life Sciences,81,Low,Female,High,3,Sales Executive,Low,Single,7637,Excellent,Very High,28,Good,7
36,No,Travel_Rarely,Research & Development,8,Bachelor,Technical Degree,83,High,Female,High,3,Healthcare Representative,High,Divorced,10096,Excellent,Medium,17,Better,12
55,No,Travel_Rarely,Research & Development,8,Bachelor,Medical,84,Very High,Female,High,4,Manager,High,Divorced,14756,Excellent,High,21,Better,0
36,No,Travel_Frequently,Research & Development,11,Bachelor,Life Sciences,85,Medium,Male,Medium,2,Manufacturing Director,Medium,Single,6499,Excellent,High,6,Better,0
45,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,86,Medium,Male,High,3,Research Scientist,Low,Divorced,9724,Excellent,High,25,Better,0
35,No,Travel_Frequently,Research & Development,1,Bachelor,Medical,88,Medium,Male,High,1,Research Scientist,Low,Married,2194,Excellent,Very High,5,Good,1
36,Yes,Travel_Rarely,Research & Development,9,Bachelor,Medical,90,Very High,Male,Medium,1,Research Scientist,High,Married,3388,Excellent,Low,2,Good,0
59,No,Travel_Frequently,Sales,1,Below College,Life Sciences,91,Low,Female,Medium,2,Sales Executive,High,Single,5473,Excellent,Very High,20,Good,1
29,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,94,High,Male,High,1,Research Scientist,Medium,Married,2703,Outstanding,Very High,6,Better,0
31,No,Travel_Rarely,Research & Development,1,Master,Medical,95,High,Male,High,1,Research Scientist,Medium,Single,2501,Excellent,Medium,1,Better,1
32,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,96,Medium,Male,High,2,Research Scientist,Medium,Married,6220,Excellent,Medium,10,Better,0
36,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,97,Medium,Female,Very High,1,Laboratory Technician,Very High,Married,3038,Excellent,Medium,5,Better,0
31,No,Travel_Rarely,Research & Development,8,Master,Life Sciences,98,High,Female,High,2,Manufacturing Director,Very High,Single,4424,Outstanding,Very High,11,Better,1
35,No,Travel_Rarely,Sales,1,Master,Marketing,100,High,Male,Medium,2,Sales Executive,Low,Single,4312,Excellent,Medium,16,Better,2
45,No,Travel_Rarely,Research & Development,6,Master,Other,101,Very High,Male,High,3,Research Director,Low,Married,13245,Excellent,Medium,17,Best,0
37,No,Travel_Rarely,Research & Development,7,Master,Medical,102,Low,Male,High,3,Research Director,High,Single,13664,Excellent,Low,16,Best,0
46,No,Travel_Rarely,Human Resources,5,College,Medical,103,Medium,Male,High,2,Human Resources,Medium,Divorced,5021,Outstanding,Very High,16,Better,0
30,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,104,Very High,Male,Medium,2,Laboratory Technician,Very High,Married,5126,Excellent,High,10,Good,3
35,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,105,Medium,Male,Medium,1,Research Scientist,High,Single,2859,Excellent,Low,6,Better,0
55,No,Travel_Rarely,Sales,1,College,Life Sciences,106,Low,Male,High,3,Sales Executive,Very High,Married,10239,Excellent,Very High,24,Better,1
38,No,Non-Travel,Research & Development,6,Bachelor,Medical,107,Medium,Female,Low,2,Research Scientist,Very High,Divorced,5329,Excellent,Very High,17,Better,1
34,No,Travel_Rarely,Research & Development,1,College,Medical,110,Low,Male,High,2,Manufacturing Director,Medium,Married,4325,Excellent,High,5,Better,1
56,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,112,Very High,Male,Low,3,Manufacturing Director,Very High,Single,7260,Excellent,Low,37,Good,0
23,No,Travel_Rarely,Sales,2,Below College,Technical Degree,113,High,Male,High,1,Sales Representative,Low,Divorced,2322,Excellent,High,3,Better,0
51,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,116,Very High,Male,High,1,Laboratory Technician,Very High,Married,2075,Outstanding,Medium,10,Better,0
30,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,117,High,Male,Medium,2,Healthcare Representative,Very High,Married,4152,Excellent,Low,11,Better,10
46,Yes,Travel_Rarely,Sales,9,College,Medical,118,High,Male,Medium,3,Sales Executive,Very High,Single,9619,Excellent,Very High,9,Better,4
40,No,Travel_Frequently,Research & Development,1,Master,Life Sciences,119,High,Male,Medium,4,Healthcare Representative,Medium,Married,13503,Outstanding,Very High,22,Good,11
51,No,Travel_Rarely,Sales,21,Master,Marketing,120,High,Male,High,2,Sales Executive,Very High,Single,5441,Outstanding,Very High,11,Bad,1
30,No,Travel_Rarely,Sales,4,College,Medical,121,High,Female,Medium,2,Sales Executive,Medium,Divorced,5209,Excellent,Medium,11,Good,2
46,No,Travel_Frequently,Research & Development,1,Bachelor,Medical,124,High,Male,Medium,3,Healthcare Representative,Low,Married,10673,Excellent,High,21,Good,9
32,No,Travel_Rarely,Sales,6,Master,Medical,125,Medium,Male,High,2,Sales Executive,High,Single,5010,Excellent,Low,12,Better,5
54,No,Travel_Rarely,Research & Development,2,Master,Technical Degree,126,Low,Female,High,3,Research Director,High,Married,13549,Excellent,Low,16,Bad,0
24,No,Travel_Rarely,Sales,3,College,Other,128,Low,Female,High,2,Sales Executive,High,Married,4999,Outstanding,Low,4,Good,0
28,No,Non-Travel,Sales,4,Bachelor,Medical,129,Medium,Male,High,2,Sales Executive,High,Married,4221,Excellent,Medium,5,Best,0
58,No,Travel_Rarely,Sales,10,Master,Medical,131,Very High,Male,High,4,Sales Executive,High,Single,13872,Excellent,High,38,Good,1
44,No,Non-Travel,Research & Development,23,Bachelor,Medical,132,Medium,Male,High,2,Laboratory Technician,Medium,Married,2042,Excellent,High,17,Best,1
37,Yes,Travel_Rarely,Human Resources,6,Master,Human Resources,133,High,Male,High,1,Human Resources,Low,Divorced,2073,Outstanding,Very High,7,Better,0
32,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,134,Very High,Male,High,1,Research Scientist,Low,Single,2956,Excellent,Very High,1,Better,0
20,Yes,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,137,Very High,Female,Medium,1,Laboratory Technician,Very High,Single,2926,Excellent,Medium,1,Better,1
34,No,Travel_Rarely,Research & Development,6,Master,Other,138,Low,Female,High,2,Research Scientist,High,Single,4809,Excellent,High,16,Better,2
37,No,Non-Travel,Research & Development,2,College,Life Sciences,139,High,Male,Medium,2,Healthcare Representative,Very High,Divorced,5163,Excellent,Very High,17,Best,0
59,No,Non-Travel,Human Resources,2,Master,Human Resources,140,High,Female,Medium,5,Manager,Very High,Married,18844,Outstanding,Very High,30,Better,2
50,No,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,141,Low,Female,High,5,Research Director,Medium,Married,18172,Excellent,Low,28,Good,0
25,Yes,Travel_Rarely,Sales,5,Bachelor,Marketing,142,High,Male,Medium,2,Sales Executive,High,Single,5744,Excellent,Very High,6,Better,0
25,No,Travel_Rarely,Research & Development,7,Below College,Medical,143,Very High,Male,Medium,1,Research Scientist,Very High,Married,2889,Excellent,High,2,Better,2
22,No,Travel_Rarely,Research & Development,15,Bachelor,Medical,144,Medium,Female,High,1,Laboratory Technician,Very High,Single,2871,Excellent,High,1,Better,0
51,No,Travel_Frequently,Research & Development,1,Master,Medical,145,Low,Female,Medium,3,Healthcare Representative,Low,Single,7484,Outstanding,High,23,Good,12
34,Yes,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,147,Low,Male,Low,2,Laboratory Technician,High,Single,6074,Outstanding,Very High,9,Better,0
54,No,Non-Travel,Human Resources,26,Bachelor,Human Resources,148,Very High,Female,Very High,4,Manager,Very High,Single,17328,Excellent,High,23,Better,4
24,No,Travel_Rarely,Research & Development,18,Below College,Life Sciences,150,Medium,Male,High,1,Laboratory Technician,High,Married,2774,Excellent,High,6,Better,1
34,No,Travel_Rarely,Research & Development,6,Master,Life Sciences,151,High,Female,Medium,2,Research Scientist,Medium,Divorced,4505,Excellent,High,12,Better,0
37,No,Travel_Rarely,Sales,3,Bachelor,Life Sciences,152,High,Male,High,3,Sales Executive,Very High,Single,7428,Excellent,Low,12,Better,1
34,No,Travel_Rarely,Research & Development,5,Bachelor,Medical,153,High,Female,Medium,3,Manager,Low,Single,11631,Excellent,Very High,14,Better,5
36,No,Travel_Frequently,Sales,11,College,Technical Degree,154,Medium,Female,High,3,Sales Executive,Very High,Married,9738,Excellent,High,10,Better,2
36,No,Travel_Rarely,Research & Development,3,College,Life Sciences,155,Low,Female,High,1,Laboratory Technician,Very High,Divorced,2835,Outstanding,Low,7,Better,0
43,No,Travel_Frequently,Sales,26,College,Life Sciences,158,High,Male,High,4,Manager,Very High,Married,16959,Excellent,Very High,25,Best,4
30,No,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,159,Low,Male,Low,1,Research Scientist,High,Divorced,2613,Outstanding,High,10,Good,0
33,No,Non-Travel,Sales,22,College,Marketing,160,High,Male,High,2,Sales Executive,Medium,Married,6146,Excellent,Low,8,Best,0
56,Yes,Travel_Rarely,Research & Development,14,Master,Life Sciences,161,Medium,Female,High,1,Research Scientist,Medium,Married,4963,Excellent,Low,7,Better,4
51,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,162,Low,Male,High,5,Research Director,High,Single,19537,Excellent,High,23,Better,15
31,Yes,Travel_Rarely,Sales,6,Master,Life Sciences,163,Medium,Male,Low,2,Sales Executive,High,Married,6172,Excellent,Medium,12,Good,7
26,No,Travel_Rarely,Research & Development,6,Bachelor,Other,164,High,Female,Medium,1,Research Scientist,Medium,Married,2368,Excellent,High,5,Good,4
58,Yes,Travel_Rarely,Research & Development,23,Master,Medical,165,Very High,Female,High,3,Healthcare Representative,Very High,Married,10312,Excellent,Very High,40,Good,15
19,Yes,Travel_Rarely,Sales,22,Below College,Marketing,167,Very High,Male,High,1,Sales Representative,High,Single,1675,Excellent,Very High,0,Good,0
22,No,Travel_Rarely,Research & Development,2,Below College,Technical Degree,169,High,Male,High,1,Laboratory Technician,Very High,Married,2523,Excellent,High,3,Better,2
49,No,Travel_Rarely,Research & Development,20,Master,Medical,170,High,Female,High,2,Manufacturing Director,Low,Married,6567,Excellent,High,16,Good,5
43,No,Travel_Frequently,Research & Development,28,Bachelor,Medical,171,Medium,Female,Very High,1,Research Scientist,High,Single,4739,Excellent,Very High,18,Better,1
50,No,Travel_Frequently,Sales,12,Bachelor,Marketing,174,High,Female,High,3,Sales Executive,Very High,Single,9208,Excellent,Very High,16,Better,2
31,Yes,Travel_Rarely,Sales,20,Bachelor,Life Sciences,175,Medium,Female,Low,2,Sales Executive,High,Married,4559,Excellent,High,4,Better,2
41,No,Travel_Rarely,Sales,9,Below College,Life Sciences,176,High,Male,High,3,Sales Executive,High,Divorced,8189,Excellent,High,12,Better,0
26,No,Travel_Rarely,Human Resources,25,Below College,Life Sciences,177,High,Female,High,1,Human Resources,High,Married,2942,Outstanding,Very High,8,Better,5
36,No,Travel_Rarely,Research & Development,6,College,Medical,178,Medium,Male,High,2,Manufacturing Director,Medium,Divorced,4941,Outstanding,Very High,7,Better,0
51,Yes,Travel_Frequently,Research & Development,8,Master,Life Sciences,179,Low,Male,Low,3,Manufacturing Director,Very High,Single,10650,Excellent,Very High,18,Better,0
39,No,Travel_Rarely,Sales,4,Master,Life Sciences,182,Very High,Female,Medium,2,Sales Executive,High,Married,5902,Excellent,High,17,Best,5
25,No,Travel_Rarely,Sales,28,Bachelor,Life Sciences,183,Low,Male,Medium,2,Sales Executive,High,Married,8639,Excellent,Very High,6,Better,2
30,No,Travel_Rarely,Human Resources,9,Bachelor,Human Resources,184,High,Male,High,2,Human Resources,Very High,Married,6347,Excellent,Very High,12,Bad,4
32,Yes,Travel_Rarely,Research & Development,9,Bachelor,Medical,190,Low,Female,High,1,Laboratory Technician,Low,Single,4200,Outstanding,Low,10,Best,0
45,No,Travel_Rarely,Research & Development,29,Bachelor,Medical,192,High,Male,High,1,Research Scientist,Very High,Single,3452,Excellent,Medium,9,Good,0
38,No,Travel_Rarely,Research & Development,3,Doctor,Technical Degree,193,Very High,Female,High,2,Research Scientist,High,Single,4317,Outstanding,Medium,19,Better,2
30,No,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,194,Low,Female,High,1,Research Scientist,High,Single,2632,Excellent,High,5,Good,0
32,No,Travel_Frequently,Sales,9,College,Medical,195,Very High,Male,Low,2,Sales Executive,Very High,Divorced,4668,Excellent,Very High,9,Best,0
30,No,Travel_Rarely,Research & Development,5,Bachelor,Technical Degree,197,Very High,Female,High,1,Research Scientist,Low,Divorced,3204,Excellent,Very High,8,Better,2
30,No,Travel_Rarely,Research & Development,2,Below College,Medical,198,Medium,Male,Medium,1,Laboratory Technician,Very High,Single,2720,Excellent,Very High,6,Better,1
41,No,Travel_Frequently,Research & Development,10,Bachelor,Life Sciences,199,Very High,Male,Medium,4,Manager,Low,Divorced,17181,Excellent,Medium,21,Good,7
41,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,200,High,Male,High,1,Laboratory Technician,Low,Married,2238,Outstanding,Very High,7,Better,1
19,No,Travel_Rarely,Research & Development,3,Below College,Medical,201,Medium,Female,High,1,Laboratory Technician,Medium,Single,1483,Excellent,Very High,1,Better,0
40,No,Travel_Frequently,Research & Development,26,Bachelor,Medical,202,Medium,Female,High,2,Research Scientist,Medium,Divorced,5605,Excellent,Low,20,Better,2
35,No,Travel_Rarely,Sales,1,Doctor,Marketing,204,High,Male,High,3,Sales Executive,Medium,Married,7295,Excellent,Low,10,Better,0
53,No,Travel_Rarely,Sales,6,College,Marketing,205,Medium,Male,High,2,Sales Representative,High,Married,2306,Outstanding,Very High,13,Bad,4
45,No,Travel_Rarely,Research & Development,9,Bachelor,Life Sciences,206,Medium,Male,High,2,Laboratory Technician,Medium,Divorced,2348,Excellent,High,20,Bad,0
32,No,Travel_Frequently,Sales,8,Bachelor,Marketing,207,Medium,Female,High,3,Sales Executive,Very High,Single,8998,Excellent,Very High,9,Better,3
29,No,Non-Travel,Research & Development,1,Below College,Technical Degree,208,Very High,Male,High,2,Manufacturing Director,High,Married,4319,Excellent,Low,10,Better,0
51,No,Travel_Rarely,Research & Development,7,Master,Medical,211,Medium,Male,Medium,2,Manufacturing Director,High,Married,6132,Excellent,High,10,Better,0
58,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,214,Medium,Female,Medium,1,Research Scientist,Medium,Married,3346,Outstanding,Medium,9,Good,0
40,No,Travel_Rarely,Sales,4,Master,Marketing,215,High,Male,Medium,3,Sales Executive,Very High,Married,10855,Excellent,Low,15,Good,2
34,No,Travel_Frequently,Sales,2,Master,Marketing,216,High,Female,High,1,Sales Representative,High,Married,2231,Excellent,Very High,6,Better,1
22,No,Travel_Rarely,Research & Development,19,Below College,Medical,217,High,Male,High,1,Research Scientist,Very High,Married,2323,Outstanding,Low,2,Better,2
27,No,Non-Travel,Research & Development,9,Bachelor,Medical,218,Very High,Male,High,1,Research Scientist,Medium,Divorced,2024,Excellent,Very High,6,Bad,2
28,No,Travel_Rarely,Research & Development,21,Bachelor,Medical,221,High,Male,High,1,Research Scientist,Very High,Married,2713,Excellent,High,5,Bad,0
57,No,Travel_Rarely,Research & Development,24,College,Life Sciences,223,High,Male,Very High,3,Healthcare Representative,Very High,Divorced,9439,Excellent,Medium,12,Bad,1
27,No,Non-Travel,Research & Development,3,Bachelor,Medical,224,High,Male,Medium,1,Research Scientist,High,Divorced,2566,Excellent,Very High,1,Good,0
50,No,Travel_Rarely,Research & Development,11,Bachelor,Life Sciences,226,High,Female,High,5,Manager,Medium,Single,19926,Excellent,Medium,21,Better,4
41,No,Travel_Rarely,Research & Development,14,Bachelor,Life Sciences,227,Low,Male,High,1,Research Scientist,High,Divorced,2451,Excellent,Low,13,Better,1
30,No,Travel_Rarely,Sales,5,Bachelor,Life Sciences,228,Medium,Female,High,3,Sales Executive,Very High,Married,9419,Excellent,High,12,Better,7
38,No,Travel_Rarely,Sales,1,Master,Life Sciences,230,Low,Female,Medium,2,Sales Executive,Very High,Single,8686,Outstanding,High,12,Best,0
32,No,Travel_Rarely,Research & Development,6,Doctor,Life Sciences,231,High,Male,High,1,Research Scientist,High,Single,3038,Outstanding,Low,8,Better,1
27,No,Travel_Rarely,Research & Development,17,Bachelor,Technical Degree,233,High,Male,High,1,Research Scientist,Medium,Married,3058,Excellent,Very High,6,Good,1
19,Yes,Travel_Frequently,Sales,1,Below College,Technical Degree,235,High,Female,Low,1,Sales Representative,Low,Single,2325,Outstanding,Low,1,Best,0
36,No,Travel_Frequently,Research & Development,3,College,Medical,238,Very High,Male,High,1,Laboratory Technician,Medium,Single,2088,Excellent,High,13,Good,7
30,No,Non-Travel,Research & Development,9,Bachelor,Medical,239,High,Male,High,2,Laboratory Technician,Low,Divorced,3072,Excellent,High,12,Better,6
45,No,Travel_Rarely,Sales,4,College,Life Sciences,240,High,Female,High,2,Sales Executive,Low,Divorced,5006,Excellent,Low,9,Best,0
56,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,241,High,Female,High,1,Research Scientist,Low,Divorced,4257,Excellent,High,19,Better,2
33,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,242,High,Male,High,1,Research Scientist,Very High,Single,2500,Excellent,Low,4,Best,0
19,Yes,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,243,Medium,Male,Medium,1,Laboratory Technician,Very High,Single,1102,Outstanding,High,1,Good,1
46,No,Travel_Rarely,Sales,1,College,Marketing,244,Medium,Female,High,3,Sales Executive,Low,Divorced,10453,Outstanding,High,24,Better,15
38,No,Travel_Rarely,Research & Development,9,College,Life Sciences,245,High,Female,High,1,Laboratory Technician,Very High,Single,2288,Excellent,High,2,Better,2
